CIDADE;LATITUDE;LONGITUDE;POPULAÇÃO
CAMPOS DO JORDAO;-22,7422331;-45,6020542;46974
CAMPOS DO JORDAO;-22,7408757;-45,5965783;46974
CAMPOS DO JORDAO;-22,7408457;-45,594391;46974
CAMPOS DO JORDAO;-22,7408757;-45,5965783;46974
CAMPOS DO JORDAO;-22,7526056;-45,6186554;46974
CAMPOS DO JORDAO;-22,7484372;-45,5950771;46974
CAMPOS DO JORDAO;-22,7422331;-45,6020542;46974
CAMPOS DO JORDAO;-22,7526056;-45,6186554;46974
CAMPOS DO JORDAO;-22,7408757;-45,5965783;46974
CAMPOS DO JORDAO;-22,71946725;-45,57351916;46974
CAMPOS DO JORDAO;-22,71946725;-45,57351916;46974
CAMPOS DO JORDAO;-22,7510117;-45,5819854;46974
CAMPOS DO JORDAO;-22,71946725;-45,57351916;46974
CAMPOS DO JORDAO;-22,71946725;-45,57351916;46974
CAMPOS DO JORDAO;-22,72405941;-45,56472981;46974
CAMPOS DO JORDAO;-22,7404584;-45,5949309;46974
CAMPOS DO JORDAO;-22,7422331;-45,6020542;46974
CAMPOS DO JORDAO;-22,74271164;-45,59806518;46974
CAMPOS DO JORDAO;-22,7408757;-45,5965783;46974
CAMPOS DO JORDAO;-22,7422331;-45,6020542;46974
CAMPOS DO JORDAO;-22,7408457;-45,594391;46974
CAMPOS DO JORDAO;-22,7526056;-45,6186554;46974
CAMPOS DO JORDAO;-22,7408757;-45,5965783;46974
CAMPOS DO JORDAO;-22,7408457;-45,594391;46974
CAMPOS DO JORDAO;-22,7526355;-45,6201809;46974
CAMPOS DO JORDAO;-22,7419493;-45,5981395;46974
CAMPOS DO JORDAO;-22,73805573;-45,60064077;46974
CAMPOS DO JORDAO;-22,7408757;-45,5965783;46974
CAMPOS DO JORDAO;-22,7531561;-45,6207457;46974
CAMPOS DO JORDAO;-22,7516;-45,6152754;46974
CAMPOS DO JORDAO;-22,7408757;-45,5965783;46974
CAMPOS DO JORDAO;-22,73677136;-45,58814462;46974
CAMPOS DO JORDAO;-22,71946725;-45,57351916;46974
CAMPOS DO JORDAO;-22,71946725;-45,57351916;46974
CAMPOS DO JORDAO;-22,7408757;-45,5965783;46974
CAMPOS DO JORDAO;-22,7419493;-45,5981395;46974
CAMPOS DO JORDAO;-22,724257;-45,5802065;46974
CAMPOS DO JORDAO;-22,73985118;-45,60241738;46974
CAMPOS DO JORDAO;-22,7408457;-45,594391;46974
CAMPOS DO JORDAO;-22,7529015;-45,6183006;46974
CAMPOS DO JORDAO;-22,7422331;-45,6020542;46974
CAMPOS DO JORDAO;-22,73846296;-45,59307727;46974
CAMPOS DO JORDAO;-22,8248431;-45,667181;46974
CAMPOS DO JORDAO;-22,71946725;-45,57351916;46974
CAMPOS DO JORDAO;-22,7404584;-45,5949309;46974
CAMPOS DO JORDAO;-22,7398495;-45,6020111;46974
CAMPOS DO JORDAO;-22,7408757;-45,5965783;46974
CAMPOS DO JORDAO;-22,7422331;-45,6020542;46974
CAMPOS DO JORDAO;-22,7408757;-45,5965783;46974
CAMPOS DO JORDAO;-22,73760695;-45,59735748;46974
CAMPOS DO JORDAO;-22,73886826;-45,59427483;46974
CAMPOS DO JORDAO;-22,7419493;-45,5981395;46974
CAMPOS DO JORDAO;-22,7408457;-45,594391;46974
CAMPOS DO JORDAO;-22,7408457;-45,594391;46974
CAMPOS DO JORDAO;-22,7529015;-45,6183006;46974
CAMPOS DO JORDAO;-22,73985118;-45,60241738;46974
CAMPOS DO JORDAO;-22,7422331;-45,6020542;46974
CAMPOS DO JORDAO;-22,7408457;-45,594391;46974
CAMPOS DO JORDAO;-22,7398495;-45,6020111;46974
CAMPOS DO JORDAO;-22,72405941;-45,56472981;46974
CAMPOS DO JORDAO;-22,71946725;-45,57351916;46974
CAMPOS DO JORDAO;-22,7408757;-45,5965783;46974
CAMPOS DO JORDAO;-22,7526056;-45,6186554;46974
CAMPOS DO JORDAO;-22,7408757;-45,5965783;46974
CAMPOS DO JORDAO;-22,7408757;-45,5965783;46974
CAMPOS DO JORDAO;-22,7529015;-45,6183006;46974
CAMPOS DO JORDAO;-22,7408457;-45,594391;46974
CAMPOS DO JORDAO;-22,7451573;-45,5972611;46974
CAMPOS DO JORDAO;-22,7380882;-45,5915213;46974
CAMPOS DO JORDAO;-22,7408457;-45,594391;46974
CAMPOS DO JORDAO;-22,7408757;-45,5965783;46974
CAMPOS DO JORDAO;-22,7437656;-45,5824355;46974
CAMPOS DO JORDAO;-22,7408457;-45,594391;46974
CAMPOS DO JORDAO;-22,7408457;-45,594391;46974
CAMPOS DO JORDAO;-22,7419493;-45,5981395;46974
CANAS;-22,70308372;-45,05559577;4931
CARAGUATATUBA;-23,7015151;-45,4859164;134875
CARAGUATATUBA;-23,6764717;-45,4521607;134875
CARAGUATATUBA;-23,6843148;-45,4439706;134875
CARAGUATATUBA;-23,7138769;-45,5400943;134875
CARAGUATATUBA;-23,7099469;-45,4327946;134875
CARAGUATATUBA;-23,6073241;-45,3747792;134875
CARAGUATATUBA;-23,6073225;-45,3747792;134875
CARAGUATATUBA;-23,6263458;-45,3817398;134875
CARAGUATATUBA;-23,61783488;-45,40883914;134875
CARAGUATATUBA;-23,6200504;-45,4120869;134875
CARAGUATATUBA;-23,6263458;-45,3817398;134875
CARAGUATATUBA;-23,6263458;-45,3817398;134875
CARAGUATATUBA;-23,6062721;-45,4266999;134875
CARAGUATATUBA;-23,6109548;-45,4248469;134875
CARAGUATATUBA;-23,7126752;-45,4376019;134875
CARAGUATATUBA;-23,71069186;-45,4360589;134875
CARAGUATATUBA;-23,6981705;-45,4439216;134875
CARAGUATATUBA;-23,5826165;-45,3372714;134875
CARAGUATATUBA;-23,58114703;-45,32640041;134875
CARAGUATATUBA;-23,5797632;-45,3371797;134875
CARAGUATATUBA;-23,6073241;-45,3747792;134875
CARAGUATATUBA;-23,6193811;-45,4015723;134875
CARAGUATATUBA;-23,6200504;-45,4120869;134875
CARAGUATATUBA;-23,6200504;-45,4120869;134875
CARAGUATATUBA;-23,7121646;-45,4346969;134875
CARAGUATATUBA;-23,69184347;-45,44344405;134875
CARAGUATATUBA;-23,6129483;-45,4287584;134875
CARAGUATATUBA;-23,6266255;-45,3736169;134875
CARAGUATATUBA;-23,6065493;-45,4263918;134875
CARAGUATATUBA;-23,6925841;-45,4477151;134875
CARAGUATATUBA;-23,7126058;-45,436669;134875
CARAGUATATUBA;-23,68745569;-45,44036217;134875
CARAGUATATUBA;-23,5991051;-45,3555518;134875
CARAGUATATUBA;-23,6245606;-45,4283671;134875
CARAGUATATUBA;-23,6200504;-45,4120869;134875
CARAGUATATUBA;-23,6200504;-45,4120869;134875
CARAGUATATUBA;-23,62526431;-45,42840503;134875
CARAGUATATUBA;-23,6974051;-45,4312717;134875
CARAGUATATUBA;-23,7015151;-45,4859164;134875
CARAGUATATUBA;-23,6925841;-45,4477151;134875
CARAGUATATUBA;-23,7116518;-45,4355834;134875
CARAGUATATUBA;-23,5828486;-45,33655774;134875
CARAGUATATUBA;-23,6065493;-45,4263918;134875
CARAGUATATUBA;-23,6200504;-45,4120869;134875
CARAGUATATUBA;-23,7138769;-45,5400943;134875
CARAGUATATUBA;-23,69212127;-45,44331469;134875
CARAGUATATUBA;-23,7138769;-45,5400943;134875
CARAGUATATUBA;-23,633841;-45,4332631;134875
CARAGUATATUBA;-23,6221811;-45,4039566;134875
CARAGUATATUBA;-23,6008135;-45,4297818;134875
CARAGUATATUBA;-23,71705937;-45,44048991;134875
CARAGUATATUBA;-23,71077796;-45,43664195;134875
CARAGUATATUBA;-23,6925841;-45,4477151;134875
CARAGUATATUBA;-23,7015151;-45,4859164;134875
CARAGUATATUBA;-23,6263897;-45,3969751;134875
CARAGUATATUBA;-23,71705937;-45,44048991;134875
CARAGUATATUBA;-23,6813429;-45,4503671;134875
CARAGUATATUBA;-23,67477963;-45,43792939;134875
CARAGUATATUBA;-23,6925841;-45,4477151;134875
CARAGUATATUBA;-23,7313948;-45,5705515;134875
CARAGUATATUBA;-23,6221811;-45,4039566;134875
CARAGUATATUBA;-23,6221811;-45,4039566;134875
CARAGUATATUBA;-23,6163583;-45,4031403;134875
CARAGUATATUBA;-23,608068;-45,4245979;134875
CARAGUATATUBA;-23,6334877;-45,4337398;134875
CARAGUATATUBA;-23,6041463;-45,4274732;134875
CARAGUATATUBA;-23,6041463;-45,4274732;134875
CARAGUATATUBA;-23,6200504;-45,4120869;134875
CARAGUATATUBA;-23,6200504;-45,4120869;134875
